STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_dist_to_poll_miles,nearest_polling_idx,min_manhattan_dist_miles,min_dist_to_civic_center_miles,dist_to_city_hall_miles,min_dist_to_poll_miles_norm,min_manhattan_dist_miles_norm,min_dist_to_civic_center_miles_norm,accessibility_score,accessibility_category,min_network_dist_miles,nearest_poll_network_idx,driving_to_euclidean_ratio,driving_euclidean_diff_miles,min_walking_dist_miles,nearest_poll_walking_idx,osrm_walking_to_euclidean_ratio,min_google_walking_dist_miles,nearest_poll_google_walking_idx,google_walking_to_euclidean_ratio,osrm_walking_to_driving_ratio,google_to_osrm_walking_ratio,google_walking_to_driving_ratio
1,101,100,1,982,32.379105,-86.308949,11010001001,POINT (-86.308949 32.379105),1.2028479814944746,16,1.3147259999997942,0.0713696856236832,0.0713696856236832,0.1651943544330774,0.1359132025234134,0.0,0.1068517025302549,Excellent,1.1689885294592814,16,0.9718505974519535,-0.03385945203519314,1.1689885294592814,16,0.9718505974519535,1.154510544695341,16,0.9598141764023439,1.0,0.9876149471110403,0.9876149471110403
1,101,200,1,900,32.372445,-86.304582,11010002001,POINT (-86.304582 32.372445),0.95878808168873,16,1.237652999999746,0.3431482385046777,0.5205155712455442,0.1271205125835326,0.1265252483863859,0.0101818840450103,0.0918603447628319,Excellent,1.086780916400512,16,1.1334943948055196,0.12799283471178202,1.086780916400512,16,1.1334943948055196,1.0979656256602086,16,1.1451598602752162,1.0,1.0102915951972558,1.0102915951972558
1,101,200,2,540,32.370889,-86.315858,11010002002,POINT (-86.315858 32.370889),0.7124461916489327,14,0.7417500000020709,0.7935026549961463,0.7935026549961463,0.0886906756059776,0.0661212856447051,0.0270539160698562,0.0634288307567594,Excellent,0.7947357301751029,14,1.1155028119888097,0.08228953852617016,0.7947357301751029,14,1.1155028119888097,0.794114357438453,14,1.11463064403573,1.0,0.9992181391712275,0.9992181391712275
1,101,300,1,999,32.412411,-86.293391,11010003001,POINT (-86.293391 32.412411),1.0490687069596911,22,1.2464187599969705,2.372561364880268,2.50061772971418,0.1412044741494453,0.1275929705826166,0.0862116108690622,0.1206231640952817,Excellent,1.0396187256887917,22,0.9909920282549591,-0.009449981270899466,1.0396187256887917,22,0.9909920282549591,1.112878571339804,22,1.0608252481050935,1.0,1.0704679935449166,1.0704679935449166
1,101,300,2,262,32.394912,-86.298449,11010003002,POINT (-86.298449 32.394912),0.2319581898851665,20,0.3100142400034542,1.2652663130123147,1.2652663130123147,0.0137335679274191,0.0135332779873003,0.0447280217402689,0.0229718170892384,Excellent,0.2012626294008724,20,0.8676677012374933,-0.030695560484294115,0.2012626294008724,20,0.8676677012374933,0.2112667304609343,20,0.9107965990143494,1.0,1.0497066995986417,1.0497066995986417
1,101,400,1,719,32.409662,-86.281546,11010004001,POINT (-86.281546 32.409662),0.573135282773938,22,0.7164960000006246,1.8060635790470112,2.7796915096781047,0.0669578898568865,0.0630451968225505,0.0649883954756276,0.065193233632208,Excellent,0.8914834652714778,21,1.5554503309528511,0.3183481824975398,0.8914834652714778,21,1.5554503309528511,0.9183889047684144,22,1.6023946394007904,1.0,1.0301805255454102,1.0301805255454102
1,101,400,2,600,32.407069,-86.281504,11010004002,POINT (-86.281504 32.407069),0.5425909639459475,21,0.6588989400053933,1.638236380836747,2.649032968661626,0.0621929138596637,0.056029529109311,0.0587009344024055,0.0592963045973804,Excellent,0.7191146681248214,21,1.3253347657969088,0.17652370417887386,0.7191146681248214,21,1.3253347657969088,3.24977941267849,44,5.989372526672284,1.0,4.519139376134106,4.519139376134106
1,101,400,3,768,32.404175,-86.280336,11010004003,POINT (-86.280336 32.404175),0.3305501887056021,21,0.3786209400060514,1.4229040088783318,2.5670673434561175,0.0291141207085499,0.0218899859539914,0.0506337443346975,0.0334027673700266,Excellent,0.4638547479090807,21,1.403280844356751,0.1333045592034786,0.4638547479090807,21,1.403280844356751,0.5120111349994408,21,1.548966397521719,1.0,1.1038178164768924,1.1038178164768924
1,101,400,4,492,32.401294,-86.281484,11010004004,POINT (-86.281484 32.401294),0.1831916833222144,21,0.2590439400059452,1.2778194410059875,2.37681229563239,0.0061258935003196,0.0073247894280533,0.0451983108498357,0.0182072874834945,Excellent,0.2951520499086582,21,1.6111651170840413,0.11196036658644379,0.2951520499086582,21,1.6111651170840413,0.3429977506306933,21,1.8723434623797703,1.0,1.1621052631578948,1.1621052631578948
1,101,400,5,718,32.398316,-86.277825,11010004005,POINT (-86.277825 32.398316),0.143923648333343,21,0.1989090599939018,0.9831429376452152,2.4596813758326266,0.0,0.0,0.0341585803184781,0.0102475740955434,Excellent,0.0789143375545254,21,0.5483069562810908,-0.06500931077881761,0.0789143375545254,21,0.5483069562810908,0.154100438689152,21,1.0707096469111068,1.0,1.9527559055118113,1.9527559055118113
1,101,400,6,520,32.392249,-86.286116,11010004006,POINT (-86.286116 32.392249),0.5497527283909677,18,0.6845579699991688,1.061128602469367,1.7529666083683897,0.0633101637112797,0.0591549530162826,0.037080227328499,0.0541946195879464,Excellent,0.3901599413424136,18,0.7097007821759159,-0.15959278704855406,0.3901599413424136,18,0.7097007821759159,0.3790373693563821,18,0.689468828041581,1.0,0.971492275840102,0.971492275840102
1,101,400,7,450,32.387629,-86.282926,11010004007,POINT (-86.282926 32.387629),0.3460658009021353,18,0.4672300500016249,0.7402555816998921,1.819795170153747,0.0315345878374796,0.0326831075498906,0.025059073135079,0.0299364893404827,Excellent,0.3646836591397716,18,1.0537986076321402,0.018617858237636287,0.3646836591397716,18,1.0537986076321402,0.3628816782034871,18,1.0485915604995224,1.0,0.995058783438405,0.995058783438405
1,101,500,1,1596,32.379782,-86.28537,11010005001,POINT (-86.28537 32.379782),0.4602192619437676,16,0.5942279999999585,0.9608557187553916,1.556450489261706,0.0493427604448461,0.0481522203401039,0.0333236142182601,0.0441798545454476,Excellent,0.6963724259634385,16,1.5131318559381062,0.2361531640196709,0.6963724259634385,16,1.5131318559381062,0.6903451104179353,16,1.500035238643023,1.0,0.9913446952797358,0.9913446952797358
1,101,500,2,661,32.382365,-86.277859,11010005002,POINT (-86.277859 32.382365),0.5257726612734186,18,0.5671710300008286,0.415143280888279,2.085601613132984,0.0595692243611377,0.0448565189474165,0.0128790989856109,0.0411483751243633,Excellent,0.6445499397268446,18,1.225909955389746,0.118777278453426,0.6445499397268446,18,1.225909955389746,0.6275864640163048,18,1.1936460570169125,1.0,0.973681673575629,0.973681673575629
1,101,500,3,645,32.385643,-86.276811,11010005003,POINT (-86.276811 32.385643),0.3194226227699517,18,0.4133010300015058,0.2998093273566633,2.1919350342951063,0.0273781977406984,0.0261142291305267,0.0085582394885566,0.0213530196820043,Excellent,0.4555283532379733,18,1.4260992201734095,0.1361057304680216,0.4555283532379733,18,1.4260992201734095,0.4368250338648142,18,1.3675456987885788,1.0,0.9589414813804394,0.9589414813804394
1,101,600,1,1182,32.374026,-86.292024,11010006001,POINT (-86.292024 32.374026),0.2346370541325671,16,0.2620619999997373,0.5586497209989497,1.1536764344441106,0.0141514762104804,0.0076924072553664,0.0182554096526225,0.0134449355565888,Excellent,0.2677495122224017,16,1.1411220329723644,0.03311245808983457,0.2677495122224017,16,1.1411220329723644,0.2653261585494675,16,1.1307939384525405,1.0,0.9909491761429569,0.9909491761429569
1,101,600,2,581,32.369352,-86.291031,11010006002,POINT (-86.291031 32.369352),0.5334221777597792,15,0.594573000000068,0.7229812789172322,1.3493310961672162,0.0607625645254129,0.0481942434114558,0.0244119104137128,0.0460868719577157,Excellent,0.5608510321001157,16,1.0514205360855633,0.027428854340336484,0.5608510321001157,16,1.0514205360855633,0.5604782084581257,16,1.0507216081865476,1.0,0.9993352537114999,0.9993352537114999
1,101,700,1,519,32.362934,-86.311954,11010007001,POINT (-86.311954 32.362934),0.3407776776154387,14,0.4622310000027738,1.1475861116237642,1.1570239071219812,0.0307096298257012,0.0320741932463356,0.0403192626522906,0.0340018886998683,Excellent,0.3781053102514074,14,1.1095366131290214,0.03732763263596872,0.3781053102514074,14,1.1095366131290214,0.3784159966197323,14,1.1104483112499162,1.0,1.000821692686935,1.000821692686935
1,101,700,2,478,32.36165,-86.3034,11010007002,POINT (-86.3034 32.36165),0.6906789638211903,15,0.7138657199977345,0.922105684019088,1.2511357336438351,0.0852949436955896,0.0627248129263137,0.0318718868606642,0.0624969874143292,Excellent,0.7469521667267327,15,1.08147519448719,0.056273202905542385,0.7469521667267327,15,1.08147519448719,0.7667739570258616,15,1.1101741868373618,1.0,1.0265368937692372,1.0265368937692372
1,101,900,1,618,32.378299,-86.348277,11010009001,POINT (-86.348277 32.378299),0.3855842612585214,17,0.4846560000005766,1.7650069579268302,2.785342384442188,0.0376995482055865,0.0348056928830707,0.0634502544004977,0.0445566034673051,Excellent,0.3255993140044987,17,0.8444310277130197,-0.0599849472540227,0.3255993140044987,17,0.8444310277130197,0.3933289422993277,17,1.0200855735540868,1.0,1.2080152671755726,1.2080152671755726
1,101,900,2,1515,32.389821,-86.353236,11010009002,POINT (-86.353236 32.389821),0.678114282887897,17,0.7027649999999923,2.629324593704041,3.2113797744422237,0.0833348278587603,0.061372678583201,0.0958309623417697,0.0804950234209954,Excellent,0.791193905576199,17,1.1667559960641558,0.11307962268830196,0.791193905576199,17,1.1667559960641558,1.045148943044975,17,1.5412578224926647,1.0,1.3209769889264116,1.3209769889264116
1,101,1000,1,322,32.375817,-86.334234,11010010001,POINT (-86.334234 32.375817),1.1147568830058354,13,1.2554280900006205,1.5385171932886337,1.830697624744432,0.1514519635082321,0.1286903610679948,0.0549650649089723,0.115677413196383,Excellent,2.0275392396883194,13,1.8188174216258288,0.912782356682484,2.0275392396883194,13,1.8188174216258288,1.244609591509563,17,1.1164852269434677,1.0,0.6138522831749924,0.6138522831749924
1,101,1000,2,878,32.360929,-86.34309,11010010002,POINT (-86.34309 32.360929),0.7659034218793284,13,0.8392200900012767,0.5198935532407849,2.734980932698427,0.0970301124865416,0.0779937278053048,0.0168034525281198,0.067251199094644,Excellent,1.4488548100463543,13,1.8916938724353005,0.6829513881670259,1.4488548100463543,13,1.8916938724353005,1.4645755402835945,13,1.9122196068662365,1.0,1.010850452459579,1.010850452459579
1,101,1100,1,294,32.366283,-86.325275,11010011001,POINT (-86.325275 32.366283),0.6463743454454417,13,0.9138794699987116,1.2983730458357872,1.4931819274272045,0.0783833329205901,0.0870876885349298,0.0459683290093467,0.071270138431519,Excellent,0.7696322716144506,13,1.1906912411322066,0.12325792616900888,0.7696322716144506,13,1.1906912411322066,0.7680167024991612,13,1.1881918085252765,1.0,0.9979008558049413,0.9979008558049413
1,101,1100,2,479,32.365514,-86.330903,11010011002,POINT (-86.330903 32.365514),0.4014151729189057,13,0.4724864699982376,0.9888781045223816,1.846054613089148,0.040169202693568,0.0333233710643914,0.0343734420266706,0.0363767250047458,Excellent,0.7947978674487678,13,1.9799895994697083,0.3933826945298621,0.7947978674487678,13,1.9799895994697083,0.7319770837734724,13,1.8234913205967604,1.0,0.920960050035181,0.920960050035181
1,101,1100,3,394,32.361711,-86.330681,11010011003,POINT (-86.330681 32.361711),0.1615082753038726,13,0.2253974699989385,0.8098539200384459,1.9810068497717823,0.0027432376510523,0.003226447371841,0.0276664981992593,0.010365178731751,Excellent,0.2374886599475561,13,1.4704426723691333,0.07598038464368351,0.2374886599475561,13,1.4704426723691333,0.2367430126635764,13,1.4658258978875978,1.0,0.9968602825745685,0.9968602825745685
1,101,1100,4,335,32.356395,-86.32922,11010011004,POINT (-86.32922 32.356395),0.3058698025785407,13,0.4306559099984994,0.7388106329931271,2.153655944023436,0.0252639301654277,0.0282281577107725,0.0250049397237877,0.0260755012965392,Excellent,0.3671070128127058,13,1.2002067864101778,0.06123721023416512,0.3671070128127058,13,1.2002067864101778,0.3672312873600358,13,1.2006130852545955,1.0,1.0003385240352065,1.0003385240352065
1,101,1100,5,396,32.354823,-86.325613,11010011005,POINT (-86.325613 32.354823),0.5616575547084514,13,0.78800690999838,0.9729530894018436,2.0789140274909834,0.0651673408830271,0.0717556550031793,0.0337768288809551,0.0577266815184511,Excellent,0.6723253010550909,13,1.1970377597860065,0.11066774634663956,0.6723253010550909,13,1.1970377597860065,0.6717039283184412,13,1.1959314402298271,1.0,0.9990757855822552,0.9990757855822552
1,101,1100,6,786,32.355658,-86.336614,11010011006,POINT (-86.336614 32.355658),0.4259042672494931,13,0.6016365300010804,0.2355029739937058,2.5614174944239227,0.0439895513265204,0.0490546237741636,0.006149072810913,0.0341569295061311,Excellent,0.5489828128301043,13,1.2889817150118204,0.12307854558061121,0.5489828128301043,13,1.2889817150118204,0.5555072265649272,13,1.3043006827623853,1.0,1.0118845500848896,1.0118845500848896
1,101,1200,1,262,32.355227,-86.314374,11010012001,POINT (-86.314374 32.355227),0.3918791794660898,14,0.5011897799987608,1.660393217284794,1.7136999872222631,0.0386815682772227,0.0368196065536759,0.0595310158680944,0.0443778140374202,Excellent,0.5561907365752421,14,1.419291367642997,0.1643115571091523,0.5561907365752421,14,1.419291367642997,0.5573713447748767,14,1.422304051810712,1.0,1.00212266785834,1.00212266785834
1,101,1200,2,876,32.362324,-86.317695,11010012002,POINT (-86.317695 32.362324),0.1548371160536692,14,0.2176522200013337,1.3462740298993232,1.3462740298993232,0.0017025232098535,0.0022830294205834,0.0477628866012048,0.0156947840904779,Excellent,0.2019461394111872,14,1.3042489072270578,0.04710902335751799,0.2019461394111872,14,1.3042489072270578,0.2013247666745374,14,1.300235833666359,1.0,0.9969230769230769,0.9969230769230769
1,101,1200,3,317,32.355867,-86.318857,11010012003,POINT (-86.318857 32.355867),0.3698094088967792,14,0.5016989999967691,1.4427593737064863,1.7786931537781243,0.0352386390824616,0.036881632606729,0.0513776037018498,0.0405732265255583,Excellent,0.4750394571687772,14,1.2845521118186847,0.105230048271998,0.4750394571687772,14,1.2845521118186847,0.4778356344837014,14,1.2921132426272972,1.0,1.0058862001308047,1.0058862001308047
1,101,1300,1,1020,32.355389,-86.304777,11010013001,POINT (-86.304777 32.355389),0.7175321928653267,8,0.949052909999196,1.36427649061683,1.6578942459907986,0.089484102162793,0.0913720247040918,0.0484373289573343,0.077736446963545,Excellent,0.955360582599078,8,1.3314532673217483,0.2378283897337513,0.955360582599078,8,1.3314532673217483,0.9662346054904496,8,1.3466080199579307,1.0,1.0113821138211383,1.0113821138211383
1,101,1300,2,1074,32.347924,-86.307513,11010013002,POINT (-86.307513 32.347924),0.1749222051722176,8,0.2451839099990493,1.9103925030593751,2.1589166583370987,0.0048358380528174,0.0056365545592603,0.0688969636668039,0.0242943906889462,Excellent,0.2166726732697876,8,1.2386802067608573,0.04175046809756999,0.2166726732697876,8,1.2386802067608573,0.2255583034038798,8,1.2894778177636683,1.0,1.0410094637223974,1.0410094637223974
1,101,1400,1,792,32.355633,-86.286891,11010014001,POINT (-86.286891 32.355633),0.2785122195343932,12,0.393847860002495,1.5948178986865729,2.179890923640542,0.0209960914461719,0.0237447162301543,0.0570743088060252,0.0326441440893226,Excellent,0.3909677259000584,12,1.4037722529864733,0.1124555063656652,0.3909677259000584,12,1.4037722529864733,0.3392695142107945,12,1.2181494757320637,1.0,0.8677685950413223,0.8677685950413223
1,101,1400,2,1139,32.34896,-86.28823,11010014002,POINT (-86.28823 32.34896),0.2804494810264038,12,0.3633581399973238,1.9495479595282803,2.4904685692857336,0.0212983081877453,0.0200308852769129,0.0703638797029284,0.0356377527690505,Excellent,0.3884822349534592,12,1.3852128858704655,0.10803275392705536,0.3884822349534592,12,1.3852128858704655,0.5828476269775188,12,2.0782624551287534,1.0,1.5003198976327576,1.5003198976327576
1,101,1400,3,1131,32.352186,-86.297267,11010014003,POINT (-86.297267 32.352186),0.5227891180221514,12,0.5599391399976525,1.5588706328250552,2.0043080580547876,0.0591037855324303,0.0439756313256319,0.0557275840963039,0.0535524788395529,Excellent,0.4683907688866243,12,0.8959459038831367,-0.05439834913552716,0.4683907688866243,12,0.8959459038831367,0.7642884660792624,12,1.4619440989337467,1.0,1.6317325550543913,1.6317325550543913
1,101,1400,4,493,32.357737,-86.29382,11010014004,POINT (-86.29382 32.357737),0.2950408034409756,15,0.3228427199975598,1.2416150142493234,1.7725074357443305,0.0235745842266616,0.0150958638712332,0.043841951890511,0.0271111784191879,Excellent,0.507847937663887,15,1.7212803508565708,0.21280713422291142,0.507847937663887,15,1.7212803508565708,0.5151179986826898,15,1.7459212172520462,1.0,1.0143154288510952,1.0143154288510952
1,101,1500,1,1060,32.357476,-86.27282,11010015001,POINT (-86.27282 32.357476),1.210330953609828,12,1.4919138600026471,1.9061838845024344,2.848602768958216,0.1663617133359995,0.1574957476863599,0.0687392924095166,0.1344151973631628,Excellent,1.6292393154957934,15,1.3461105911871176,0.4189083618859655,1.6292393154957934,15,1.3461105911871176,1.945518038450545,15,1.6074264916120768,1.0,1.1941266209000763,1.1941266209000763
1,101,1500,2,644,32.361251,-86.28078,11010015002,POINT (-86.28078 32.361251),0.8510074552493333,12,0.9216247199982774,1.6203371547187773,2.2455289450018947,0.1103065151641915,0.0880311064864263,0.0580303596168065,0.0879410458966464,Excellent,0.868244124920775,15,1.0202544285189505,0.017236669671441662,0.868244124920775,15,1.0202544285189505,0.8736500677296284,15,1.026606832103088,1.0,1.0062262935661634,1.0062262935661634
1,101,1500,3,2408,32.363839,-86.295351,11010015003,POINT (-86.295351 32.363839),0.1855814909926727,15,0.2623462800016867,0.8115999339837365,1.3700408318448627,0.006498708368179,0.0077270342663868,0.027731910688006,0.0132371668335894,Excellent,0.282911006996657,15,1.5244570214592528,0.09732951600398429,0.282911006996657,15,1.5244570214592528,0.2168590850907825,15,1.1685383274528425,1.0,0.7665275642433559,0.7665275642433559
1,101,1600,1,784,32.378588,-86.266627,11010016001,POINT (-86.266627 32.378588),0.730984398796291,41,0.7444327199994945,0.6050724566138435,2.8495402204235405,0.0915826737083468,0.0664480570471194,0.0199945862950487,0.0625658624859892,Excellent,1.1784955323300237,41,1.6122033989653506,0.44751113353373273,1.1784955323300237,41,1.6122033989653506,1.256415673505909,41,1.7187995743477475,1.0,1.0661183169882946,1.0661183169882946
1,101,1600,2,1351,32.36978,-86.276672,11010016002,POINT (-86.276672 32.36978),1.1564646684719195,16,1.517439030001036,1.0955756988108274,2.252152393920411,0.1579584630560658,0.1606048666422141,0.0383707498399999,0.1228760701670905,Excellent,1.385785477276399,16,1.1982946950791757,0.22932080880447936,1.385785477276399,16,1.1982946950791757,1.3856612027290691,16,1.19818723434067,1.0,0.9999103219442204,0.9999103219442204
1,101,1600,3,1141,32.374988,-86.279077,11010016003,POINT (-86.279077 32.374988),0.8799685350926955,16,1.0305150000000864,0.8323284213298233,2.0113753665120613,0.1148245026526148,0.1012945963547903,0.0285084806283086,0.0848707241559756,Excellent,1.035641940174233,16,1.1769079221283054,0.15567340508153749,1.035641940174233,16,1.1769079221283054,1.0327214883119789,16,1.1735891081641827,1.0,0.997180056398872,0.997180056398872
1,101,1600,4,554,32.377926,-86.272316,11010016004,POINT (-86.272316 32.377926),0.9330318760561448,18,1.1555029799978271,0.4951687878409977,2.45827301579571,0.1231024920046505,0.1165188827313133,0.0158771664335325,0.0889598115513139,Excellent,1.340735953869288,18,1.4369669335805306,0.4077040778131432,1.340735953869288,18,1.4369669335805306,1.193035654367629,18,1.2786654829098665,1.0,0.8898363998702322,0.8898363998702322
1,101,1700,1,1085,32.374791,-86.248557,11010017001,POINT (-86.248557 32.374791),0.5726591999919072,41,0.7175385899971687,1.79869478720747,4.107380155783559,0.0668836199724657,0.0631721905437145,0.064712331808106,0.0651188046945324,Excellent,0.9908409658617818,44,1.7302454337165707,0.41818176586987466,0.9908409658617818,44,1.7302454337165707,0.9705842146469982,41,1.6948722986738265,1.0,0.9795560015050797,0.9795560015050797
1,101,1700,2,609,32.362839,-86.248042,11010017002,POINT (-86.248042 32.362839),0.9460001381541806,36,1.1870401200009226,2.2819562130952584,4.283218850762074,0.1251255673258198,0.1203602957288855,0.0828171886838816,0.1110034722541581,Excellent,1.2670411473026209,36,1.3393667677204044,0.32104100914844025,1.2670411473026209,36,1.3393667677204044,1.2744354828687536,36,1.3471831889532389,1.0,1.005835907998627,1.005835907998627
1,101,1700,3,1498,32.364283,-86.258176,11010017003,POINT (-86.258176 32.364283),0.9846176836767596,41,1.1212099799981203,1.7435638726079203,3.5835393395720088,0.1311499831434717,0.1123417894403018,0.0626469128344691,0.10495660393982,Excellent,1.1741459231734748,41,1.192489168779682,0.18952823949671516,1.1741459231734748,41,1.192489168779682,1.2340462549865163,41,1.2533253012258936,1.0,1.0510160880609654,1.0510160880609654
1,101,1700,4,1297,32.376159,-86.259864,11010017004,POINT (-86.259864 32.376159),0.3058297569182888,41,0.4182379799971798,1.0680744826542163,3.3225400397674885,0.0252576829608013,0.0267155792808537,0.0373404470768308,0.0293198810916259,Excellent,0.5144966259460401,41,1.6822974687956955,0.20866686902775128,0.5144966259460401,41,1.6822974687956955,0.5741484086644215,41,1.8773464506850515,1.0,1.1159420289855073,1.1159420289855073
